accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,auc,seed
0.8758228605625374,0.7866502866502867,0.8614349775784753,0.822345890410959,0.9271570014144271,0.883026493039964,0.9045538178472861,0.9473198878017643,41
0.8668461998803112,0.8181386514719848,0.7726457399103139,0.7947416974169742,0.8892529488859764,0.9140098787606645,0.9014614703277236,0.9458825744380525,42
0.8744763614602035,0.8022598870056498,0.8278026905829596,0.8148311630986537,0.9123887748117727,0.8978446340368208,0.9050582776960507,0.9480600900888203,43
0.8701376421304609,0.7932816537467701,0.8260089686098655,0.8093145869947276,0.9110499770747363,0.8922317018410417,0.9015426497277677,0.9474366267233967,44
0.8735786953919809,0.7818477818477818,0.8614349775784753,0.819714102837636,0.9268985095812633,0.8796587337224966,0.9026609837576316,0.94904298247557,45
0.8663973668461998,0.77819392426134,0.8385650224215246,0.8072523203108137,0.9159074982480728,0.8803322855859901,0.8977676016027476,0.9446148572049915,46
0.8768701376421305,0.8243430152143845,0.8017937219730942,0.8129120254603319,0.9021040974529346,0.9144589133363269,0.9082394915821161,0.9477502965037724,47
0.8657989228007181,0.796617712505563,0.8026905829596412,0.799642617824436,0.9008338967771017,0.8973955994611585,0.8991114610280059,0.9401378012609212,48
0.8770197486535009,0.8074235807860262,0.8291479820627803,0.8181415929203539,0.9132908511606737,0.9009878760664571,0.9070976491862568,0.9511191633056195,49
0.8720825852782765,0.8103837471783296,0.804932735426009,0.8076490438695163,0.9026627880957708,0.9057027391109116,0.9041802084500729,0.9461136359517619,50
