accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,auc,seed
0.8411131059245961,0.7084225553176302,0.8901345291479821,0.7889507154213037,0.9368882019577537,0.8165693758419398,0.8726007677543186,0.9244426836561483,41
0.8399162178336326,0.7126099706744868,0.8717488789237668,0.7841871722468737,0.9277047522750252,0.8239784463403682,0.8727705112960761,0.9218659702267925,42
0.8315380011968881,0.6836327345309381,0.92152466367713,0.7849503437738732,0.9524197933659597,0.786484059272564,0.8615346778160354,0.9233314741019812,43
0.8397666068222621,0.7097357944263482,0.8793721973094171,0.7854996995794111,0.931395052282581,0.8199371351594072,0.8721194029850746,0.9220750330735107,44
0.843506882106523,0.7356687898089171,0.8286995515695067,0.7794179671024885,0.9084372003835091,0.8509205208801077,0.878738696962671,0.9251513226383903,45
0.8382704967085578,0.7102085620197585,0.8704035874439462,0.7821881926254282,0.9268539610225259,0.8221823080377189,0.8713860797144557,0.9203224893832521,46
0.8263016157989228,0.6697364242616703,0.9457399103139014,0.7841606246514222,0.9657708628005658,0.7665020206555905,0.8546751783702591,0.9215086554938272,47
0.8358767205266308,0.693015332197615,0.9121076233183857,0.7876089060987416,0.9477193918378234,0.7977099236641222,0.8662684383762038,0.9215251670791207,48
0.8378216636744464,0.7017605633802817,0.8937219730941705,0.7861932938856016,0.9383454734651405,0.809833857207005,0.8693661123162207,0.922481530180963,49
0.8442549371633752,0.7413723101908242,0.8188340807174888,0.7781802684849777,0.9042880833925611,0.8569824876515492,0.88,0.9272751252967556,50
